ANFRAGEN.KOR_DATUM  DATE
ANFRAGEN.KOR_ZEIT  TIME
ANFRAGEN.KOR_USERID  INTEGER
ANFRAGEN.TA_STATUS  INTEGER
ANFRAGEN.ADR_LNR  INTEGER
ANFRAGEN.NEWSLETTER  SMALLINT
ANFRAGEN.WOHER  VARCHAR(512)
ANFRAGEN.UTM  VARCHAR(100)
ANFRAGEN.S_REMOTE_ADDR  VARCHAR(100)
ANFRAGEN.ZUSATZ1  VARCHAR(100)
ANFRAGEN.ZUSATZ2  VARCHAR(100)
ANFRAGEN.ZUSATZ3  VARCHAR(100)
ANFRAGEN.ZUSATZ4  VARCHAR(100)
ANFRAGEN.ZUSATZ5  VARCHAR(100)
ANFRAGEN.ZUSATZ6  VARCHAR(100)
ANFRAGEN.ZUSATZ7  INTEGER
ANFRAGEN.ZUSATZ8  INTEGER
ANFRAGEN.ZUSATZ9  INTEGER
ANFRAGEN.ZUSATZ10  INTEGER
ANGEBOT.LNR  INTEGER
ANGEBOT.ADR_LNR  INTEGER
ANGEBOT.VONDATUM  DATE
ANGEBOT.BISDATUM  DATE
ANGEBOT.ERW  INTEGER
ANGEBOT.JUG  INTEGER
ANGEBOT.KIND  INTEGER
ANGEBOT.BEMERKUNG  VARCHAR(255)
ANGEBOT.TERMINDATUM  DATE
ANGEBOT.ERF_DATUM  TIMESTAMP
ANGEBOT.TA_STATUS  INTEGER
ANGEBOT.ERF_USERID  INTEGER
ANGEBOT.KK  INTEGER
ANGEBOT.ANSP_PARTNER  INTEGER
ANGEBOT.AKTIV  INTEGER
ANGEBOT.KIND2  INTEGER
ANGEBOT.KOR_DATUM  TIMESTAMP
ANGEBOT.PROG_MODUL  INTEGER
ANGEBOT.STO_GRUND  VARCHAR(100)
ANGEBOT.KIND3  INTEGER
ANG_KATE_ZI.LNR  INTEGER
ANG_KATE_ZI.ANG_LNR  INTEGER
ANG_KATE_ZI.VONDATUM  DATE
ANG_KATE_ZI.BISDATUM  DATE
ANG_KATE_ZI.LNR_KATE  INTEGER
ANG_KATE_ZI.LNR_ZINR  INTEGER
ANG_KATE_ZI.ERW  INTEGER
ANG_KATE_ZI.JUG  INTEGER
ANG_KATE_ZI.KIND  INTEGER
ANG_KATE_ZI.KIND2  INTEGER
ANG_KATE_ZI.KK  INTEGER
ANG_KATE_ZI.TA_STATUS  INTEGER
ANG_KATE_ZI.VERK_NR  INTEGER
ANG_LEISTUNG.LNR  INTEGER
ANG_LEISTUNG.MAND_NR  INTEGER
ANG_LEISTUNG.ANG_LNR  INTEGER
ANG_LEISTUNG.KATE_LNR  INTEGER
ANG_LEISTUNG.ZIMM_LNR  INTEGER
ANG_LEISTUNG.PR_CODE  INTEGER
ANG_LEISTUNG.PRL_LNR  INTEGER
ANG_LEISTUNG.LEIST_WAHL  INTEGER
ANG_LEISTUNG.LEIST_LNR  INTEGER
ANG_LEISTUNG.VON  DATE
ANG_LEISTUNG.BIS  DATE
ANG_LEISTUNG.ERW  INTEGER
ANG_LEISTUNG.JUGEND  INTEGER
ANG_LEISTUNG.KIND  INTEGER
ANG_LEISTUNG.BEZEICHN  VARCHAR(512)
ANG_LEISTUNG.ZIPREIS  SMALLINT
ANG_LEISTUNG.PAUSCH  SMALLINT
ANG_LEISTUNG.TAXECH  SMALLINT
ANG_LEISTUNG.BETRAG  BIGINT
ANG_LEISTUNG.GBETRAG  BIGINT
ANG_LEISTUNG.TA_STATUS  INTEGER
ANG_LEISTUNG.ERF_DATUM  TIMESTAMP
ANG_LEISTUNG.ERF_USERID  INTEGER
ANG_LEISTUNG.KOR_DATUM  TIMESTAMP
ANG_LEISTUNG.KOR_USERID  INTEGER
ANG_LEISTUNG.ANZ_ZI  INTEGER
ANG_LEISTUNG.ANG_LAUF  INTEGER
ANG_LEISTUNG.ANG_UNDODER  INTEGER
ANG_LEISTUNG.PRL_LNR_VERERB  INTEGER
ANG_LEISTUNG.ANREISE  DATE
ANG_LEISTUNG.ABREISE  DATE
ANG_LEISTUNG.ALTERSKREIS  INTEGER
ANG_LEISTUNG.PR_VERFAHREN  INTEGER
ANG_LEISTUNG.RESV_KATE_LNR  INTEGER
ANG_LEISTUNG.KNOTEN_LNR  INTEGER
ANG_LEISTUNG.ANG_KATE_ZI_LNR  INTEGER
ANSPRECHP.LNR  INTEGER
ANSPRECHP.MAND_NR  INTEGER
ANSPRECHP.ADR_LNR  INTEGER
ANSPRECHP.ANSP_NAME  VARCHAR(60)
ANSPRECHP.ANSP_TATK  VARCHAR(60)
ANSPRECHP.TA_STATUS  INTEGER
ANSPRECHP.ERF_DATUM  DATE
ANSPRECHP.ERF_ZEIT  TIME
ANSPRECHP.ERF_USERID  INTEGER
ANSPRECHP.KOR_DATUM  DATE
ANSPRECHP.KOR_ZEIT  TIME
ANSPRECHP.KOR_USERID  INTEGER
ANSPRECHP.E_MAIL  VARCHAR(50)
ANSPRECHP.TELE1  VARCHAR(20)
ANSPRECHP.ZUSATZ1  VARCHAR(50)
ANSPRECHP.ZUSATZ2  VARCHAR(50)
ANSPRECHP.ANSP_VORNAME  VARCHAR(60)
ANSPRECHP.ANSP_ANREDE  VARCHAR(30)
ANWENDER_PROT.LNR  INTEGER
ANWENDER_PROT.TAB_NR  INTEGER
ANWENDER_PROT.TAB_LNR  INTEGER
ANWENDER_PROT.ZEITSTEMPEL  TIMESTAMP
ANWENDER_PROT.ANW_ID  INTEGER
ANWENDER_PROT.WAS_NR  INTEGER
ANWENDER_PROT.GK_LNR  INTEGER
ANWENDER_PROT.TA_STATUS  INTEGER
ANWENDER_PROT.MAND_NR  INTEGER
ANWENDER_PROT.BEMERK  VARCHAR(60)
ARCHIV_ADRESSE.LNR  INTEGER
ARCHIV_ADRESSE.ADR_LNR  INTEGER
ARCHIV_ADRESSE.BEMERK  BLOB
ARCHIV_ADRESSE.TA_STATUS  INTEGER
ARCHIV_ADRESSE.KOR_USERID  INTEGER
ARCHIV_ADRESSE.DATUZEIT  TIMESTAMP
ARCHIV_ADRESSE.NAME1  VARCHAR(60)
ARCHIV_ADRESSE.NAME2  VARCHAR(60)
ARCHIV_ADRESSE.STRASSE  VARCHAR(60)
ARCHIV_ADRESSE.LAND  VARCHAR(5)
ARCHIV_ADRESSE.PLZ  VARCHAR(10)
ARCHIV_ADRESSE.ORT  VARCHAR(50)
ARCHIV_BUCHKONT.LNR  INTEGER
ARCHIV_BUCHKONT.MAND_NR  INTEGER
ARCHIV_BUCHKONT.GK_LNR  INTEGER
ARCHIV_BUCHKONT.LEIST_LNR  INTEGER
ARCHIV_BUCHKONT.VON  DATE
ARCHIV_BUCHKONT.BIS  DATE
ARCHIV_BUCHKONT.TAGE  INTEGER
ARCHIV_BUCHKONT.ME  INTEGER
ARCHIV_BUCHKONT.PRL_LNR  INTEGER
ARCHIV_BUCHKONT.BEZEICHN  VARCHAR(255)
ARCHIV_BUCHKONT.AUFP  INTEGER
ARCHIV_BUCHKONT.ZIPREIS  SMALLINT
ARCHIV_BUCHKONT.PAUSCH  SMALLINT
ARCHIV_BUCHKONT.GBETRAG  BIGINT
ARCHIV_BUCHKONT.TAGBETRAG  BIGINT
ARCHIV_BUCHKONT.L_TGABS  DATE
ARCHIV_BUCHKONT.TA_STATUS  INTEGER
ARCHIV_BUCHKONT.ERF_DATUM  DATE
ARCHIV_BUCHKONT.ERF_ZEIT  TIME
ARCHIV_BUCHKONT.ERF_USERID  INTEGER
ARCHIV_BUCHKONT.KOR_DATUM  DATE
ARCHIV_BUCHKONT.KOR_ZEIT  TIME
ARCHIV_BUCHKONT.KOR_USERID  INTEGER
ARCHIV_BUCHKONT.ZAHLUNG_LNR  INTEGER
ARCHIV_BUCHKONT.UMB_GK_LNR  INTEGER
ARCHIV_BUCHKONT.AUTO_WOHER  INTEGER
ARCHIV_BUCHKONT.SPLIT_MANU  INTEGER
ARCHIV_BUCHKONT.ANFANG  BIGINT
ARCHIV_BUCHKONT.ENDE  BIGINT
ARCHIV_BUCHKONT.E_PREIS  BIGINT
ARCHIV_BUCHKONT.LNR_CO  INTEGER
ARCHIV_BUCHKONT.RE_LAUF  INTEGER
ARCHIV_BUCHKONT.RECHNR_KASSE  INTEGER
ARCHIV_BUCHKONT.RECHNR  INTEGER
ARCHIV_BUCHKONT.VERKAEUFER_LNR  INTEGER
ARCHIV_BUCHKONT.TAG_ABS_LNR  INTEGER
ARCHIV_BUCHKONT.TMPLAN_LNR  INTEGER
ARCHIV_BUCHKONT.PERSONKREIS  INTEGER
ARCHIV_BUCHKONT.ONLINE_GEBUCHT  INTEGER
ARCHIV_BUCHKONT.BASIS_LNR  INTEGER
ARCHIV_BUCHKONT.PRL_LNR_VERERB  INTEGER
ARCHIV_BUCHKONT.PR_VERFAHREN  INTEGER
ARCHIV_BUCHKONT.UMB_BKLNR  INTEGER
ARCHIV_BUCHKONT.STO_KENNUNG  INTEGER
ARCHIV_BUCHKONT.GS_LNR  INTEGER
ARCHIV_LEISTSTA.LNR  INTEGER
ARCHIV_LEISTSTA.MAND_NR  INTEGER
ARCHIV_LEISTSTA.LEIST_LNR  INTEGER
ARCHIV_LEISTSTA.KURZBEZ  VARCHAR(10)
ARCHIV_LEISTSTA.BEZEICHN  VARCHAR(200)
ARCHIV_LEISTSTA.HG  INTEGER
ARCHIV_LEISTSTA.WG  INTEGER
ARCHIV_LEISTSTA.STS  INTEGER
ARCHIV_LEISTSTA.BETRAG  BIGINT
ARCHIV_LEISTSTA.KONTONR  VARCHAR(10)
ARCHIV_LEISTSTA.BEMERKUNG  VARCHAR(50)
ARCHIV_LEISTSTA.M_COMPR  INTEGER
ARCHIV_LEISTSTA.M_K_DRUCK  INTEGER
ARCHIV_LEISTSTA.M_FIX  INTEGER
ARCHIV_LEISTSTA.M_SUM_K  INTEGER
ARCHIV_LEISTSTA.M_K_UMS  INTEGER
ARCHIV_LEISTSTA.M_LOGI  INTEGER
ARCHIV_LEISTSTA.M_LEIST  INTEGER
ARCHIV_LEISTSTA.ZA_NR  INTEGER
ARCHIV_LEISTSTA.ERF_DATUM  DATE
ARCHIV_LEISTSTA.ERF_USERID  INTEGER
ARCHIV_LEISTSTA.M_LEISTKOMP  INTEGER
ARCHIV_LEISTSTA.KOR_DATUM  DATE
ARCHIV_LEISTSTA.KOR_ZEIT  TIME
ARCHIV_LEISTSTA.KOR_USERID  INTEGER
ARCHIV_LEISTSTA.TA_STATUS  INTEGER
ARCHIV_LEISTSTA.ERF_ZEIT  TIME
ARCHIV_LEISTSTA.SORT_NR  INTEGER
ARCHIV_LEISTSTA.UNTER_LNR  INTEGER
ARCHIV_LEISTSTA.EIGT_ABR  INTEGER
ARCHIV_LEISTSTA.TEXT_GR  INTEGER
ARCHIV_LEISTSTA.M_QUICK_ERF  SMALLINT
ARCHIV_LEISTSTA.PENSLIST_LNR  INTEGER
ARCHIV_LEISTSTA.PNL_WIE_GK  INTEGER
ARCHIV_LEISTSTA.PNL_NUR_E  INTEGER
ARCHIV_LEISTSTA.PNL_NUR_J  INTEGER
ARCHIV_LEISTSTA.PNL_NUR_K  INTEGER
ARCHIV_LEISTSTA.WGKASS_LNR  INTEGER
ARCHIV_LEISTSTA.PLAN_BEZ  VARCHAR(512)
ARCHIV_LEISTSTA.TM_FARBE  INTEGER
ARCHIV_LEISTSTA.PROVISION  BIGINT
ARCHIV_LEISTSTA.TERMIN_DAUER  INTEGER
ARCHIV_LEISTSTA.LINK_OPTION1  INTEGER
ARCHIV_LEISTSTA.TEXT_DS_GR  INTEGER
ARCHIV_LEISTSTA.EIGT_ABR_IMMER  INTEGER
ARCHIV_LEISTSTA.AUFP  INTEGER
ARCHIV_LEISTSTA.BEN_INTERN  VARCHAR(50)
ARCHIV_LEISTSTA.FM_RATE  VARCHAR(20)
ARCHIV_LEISTSTA.GR_TAGUNG  INTEGER
ARCHIV_LEISTSTA.WEB_VERF  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_JAN  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_FEB  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_MAR  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_APR  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_MAI  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_JUN  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_JUL  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_AUG  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_SEP  SMALLINT
ARCHIV_LEISTSTA.WEB_VERF_OKT  SMALLINT
